Year,Region,Sector,Electricity Consumption (MWh),Name,Date_Object,Periodicity
2014,Eastern,Residential,25866944.44,Residential : Eastern,1/1/2014,Annually
2014,Southern,Residential,16412999.82,Residential : Southern,1/1/2014,Annually
2014,Total,Governmental,30010818.66,Governmental : Total,1/1/2014,Annually
2014,Western,Commercial,16333917.79,Commercial : Western,1/1/2014,Annually
2014,Central,Agricultural,2953608.332,Agricultural : Central,1/1/2014,Annually
2014,Eastern,Agricultural,823794.4117,Agricultural : Eastern,1/1/2014,Annually
2014,Eastern,Others,1499023.842,Others : Eastern,1/1/2014,Annually
2014,Eastern,Total,82359120.84,Total : Eastern,1/1/2014,Annually
2015,Total,Residential,144040699.4,Residential : Total,1/1/2015,Annually
2015,Central,Industrial,6108793.578,Industrial : Central,1/1/2015,Annually
2015,Western,Industrial,5815722.93,Industrial : Western,1/1/2015,Annually
2015,Southern,Industrial,797974.8254,Industrial : Southern,1/1/2015,Annually
2015,Central,Commercial,16824003.25,Commercial : Central,1/1/2015,Annually
2015,Eastern,Others,1694709.048,Others : Eastern,1/1/2015,Annually
2015,Southern,Others,1438389.157,Others : Southern,1/1/2015,Annually
2015,Total,Others,10819000.97,Others : Total,1/1/2015,Annually
2015,Eastern,Total,81352280.25,Total : Eastern,1/1/2015,Annually
2015,Total,Total,286036824.6,Total : Total,1/1/2015,Annually
2016,Western,Residential,51567975.29,Residential : Western,1/1/2016,Annually
2016,Central,Industrial,6331590.169,Industrial : Central,1/1/2016,Annually
2016,Total,Industrial,46499378.92,Industrial : Total,1/1/2016,Annually
2016,Central,Governmental,11488891.43,Governmental : Central,1/1/2016,Annually
2016,Western,Commercial,17998435.41,Commercial : Western,1/1/2016,Annually
2016,Western,Agricultural,870031.07,Agricultural : Western,1/1/2016,Annually
2016,Southern,Others,1485740.304,Others : Southern,1/1/2016,Annually
2017,Central,Residential,48187135.62,Residential : Central,1/1/2017,Annually
2017,Eastern,Residential,27619486.93,Residential : Eastern,1/1/2017,Annually
2017,Total,Industrial,47230362.28,Industrial : Total,1/1/2017,Annually
2017,Central,Governmental,11391119.28,Governmental : Central,1/1/2017,Annually
2017,Western,Others,3586162.948,Others : Western,1/1/2017,Annually
2018,Central,Residential,43004597.48,Residential : Central,1/1/2018,Annually
2018,Southern,Residential,15916069.11,Residential : Southern,1/1/2018,Annually
2018,Total,Residential,129984394,Residential : Total,1/1/2018,Annually
2018,Central,Governmental,11269449.23,Governmental : Central,1/1/2018,Annually
2018,Eastern,Governmental,9966942.763,Governmental : Eastern,1/1/2018,Annually
2018,Western,Governmental,17006864.49,Governmental : Western,1/1/2018,Annually
2018,Central,Commercial,16356172.57,Commercial : Central,1/1/2018,Annually
2018,Western,Commercial,17151855.43,Commercial : Western,1/1/2018,Annually
2018,Eastern,Total,83882737.79,Total : Eastern,1/1/2018,Annually
2018,Western,Total,91901711.9,Total : Western,1/1/2018,Annually
2018,Southern,Total,28786062.52,Total : Southern,1/1/2018,Annually
2019,Central,Industrial,6938621.629,Industrial : Central,1/1/2019,Annually
2019,Central,Commercial,16333360.8,Commercial : Central,1/1/2019,Annually
2019,Eastern,Agricultural,867270.6011,Agricultural : Eastern,1/1/2019,Annually
2019,Total,Others,12542426.01,Others : Total,1/1/2019,Annually
2020,Western,Residential,45782285.07,Residential : Western,1/1/2020,Annually
2020,Southern,Residential,18070369.46,Residential : Southern,1/1/2020,Annually
2020,Central,Governmental,10135874.94,Governmental : Central,1/1/2020,Annually
2020,Eastern,Governmental,8157111.153,Governmental : Eastern,1/1/2020,Annually
2020,Western,Governmental,11872163.56,Governmental : Western,1/1/2020,Annually
2020,Southern,Governmental,5075912.446,Governmental : Southern,1/1/2020,Annually
2020,Eastern,Commercial,8446513.477,Commercial : Eastern,1/1/2020,Annually
2020,Southern,Commercial,4181710.799,Commercial : Southern,1/1/2020,Annually
2020,Western,Agricultural,879486.9771,Agricultural : Western,1/1/2020,Annually
2020,Total,Agricultural,5165539.954,Agricultural : Total,1/1/2020,Annually
2020,Western,Total,81082833.85,Total : Western,1/1/2020,Annually
2021,Southern,Residential,18978754.09,Residential : Southern,1/1/2021,Annually
2021,Eastern,Governmental,8370933.119,Governmental : Eastern,1/1/2021,Annually
2021,Central,Agricultural,3459457.176,Agricultural : Central,1/1/2021,Annually
2021,Total,Agricultural,5479669.29,Agricultural : Total,1/1/2021,Annually
2021,Western,Others,3250787.805,Others : Western,1/1/2021,Annually
2021,Southern,Total,32795695.17,Total : Southern,1/1/2021,Annually
2022,Central,Commercial,19151594.96,Commercial : Central,1/1/2022,Annually
2022,Southern,Agricultural,113065.1255,Agricultural : Southern,1/1/2022,Annually
2022,Total,Agricultural,5651546.864,Agricultural : Total,1/1/2022,Annually
2022,Central,Others,4003095.959,Others : Central,1/1/2022,Annually
2022,Eastern,Total,84827868.77,Total : Eastern,1/1/2022,Annually
2005,Central,Residential,25109641,Residential : Central,1/1/2005,Annually
2005,Eastern,Residential,15229332,Residential : Eastern,1/1/2005,Annually
2005,Western,Industrial,2595075,Industrial : Western,1/1/2005,Annually
2005,Total,Industrial,33800579,Industrial : Total,1/1/2005,Annually
2005,Central,Governmental,6361952,Governmental : Central,1/1/2005,Annually
2005,Central,Commercial,5095729,Commercial : Central,1/1/2005,Annually
2005,Southern,Commercial,872702,Commercial : Southern,1/1/2005,Annually
2005,Central,Agricultural,2326012,Agricultural : Central,1/1/2005,Annually
2005,Eastern,Total,53350046,Total : Eastern,1/1/2005,Annually
2005,Southern,Total,11009988,Total : Southern,1/1/2005,Annually
2006,Western,Residential,32321910,Residential : Western,1/1/2006,Annually
2006,Total,Residential,86028267,Residential : Total,1/1/2006,Annually
2006,Western,Industrial,2603527,Industrial : Western,1/1/2006,Annually
2006,Southern,Industrial,108106,Industrial : Southern,1/1/2006,Annually
2006,Total,Governmental,18004736,Governmental : Total,1/1/2006,Annually
2006,Southern,Agricultural,57560,Agricultural : Southern,1/1/2006,Annually
2007,Southern,Industrial,105685,Industrial : Southern,1/1/2007,Annually
2007,Eastern,Governmental,5314028,Governmental : Eastern,1/1/2007,Annually
2007,Southern,Governmental,1267709,Governmental : Southern,1/1/2007,Annually
2007,Central,Commercial,7110898,Commercial : Central,1/1/2007,Annually
2007,Total,Commercial,19440042,Commercial : Total,1/1/2007,Annually
2007,Eastern,Agricultural,547028,Agricultural : Eastern,1/1/2007,Annually
2007,Total,Others,6832804,Others : Total,1/1/2007,Annually
2007,Western,Total,51913707,Total : Western,1/1/2007,Annually
2008,Total,Residential,96687059,Residential : Total,1/1/2008,Annually
2008,Western,Industrial,3770074,Industrial : Western,1/1/2008,Annually
2008,Southern,Governmental,1486482,Governmental : Southern,1/1/2008,Annually
2008,Eastern,Commercial,5175903,Commercial : Eastern,1/1/2008,Annually
2008,Western,Agricultural,463884,Agricultural : Western,1/1/2008,Annually
2008,Southern,Others,639150,Others : Southern,1/1/2008,Annually
2008,Southern,Total,14001054,Total : Southern,1/1/2008,Annually
2009,Central,Governmental,8474612,Governmental : Central,1/1/2009,Annually
2009,Southern,Governmental,1702362,Governmental : Southern,1/1/2009,Annually
2009,Central,Others,2507486,Others : Central,1/1/2009,Annually
2009,Western,Others,2596702,Others : Western,1/1/2009,Annually
2009,Central,Total,58583099,Total : Central,1/1/2009,Annually
2010,Eastern,Industrial,29654872,Industrial : Eastern,1/1/2010,Annually
2010,Southern,Governmental,2004337,Governmental : Southern,1/1/2010,Annually
2010,Western,Commercial,10596373,Commercial : Western,1/1/2010,Annually
2010,Total,Commercial,29310027,Commercial : Total,1/1/2010,Annually
2010,Western,Agricultural,465741,Agricultural : Western,1/1/2010,Annually
2010,Eastern,Total,65803071.3,Total : Eastern,1/1/2010,Annually
2011,Western,Residential,38736551.2,Residential : Western,1/1/2011,Annually
2011,Southern,Residential,12172199.1,Residential : Southern,1/1/2011,Annually
2011,Central,Industrial,4852750.5,Industrial : Central,1/1/2011,Annually
2011,Eastern,Industrial,32408187.1,Industrial : Eastern,1/1/2011,Annually
2011,Eastern,Governmental,6843501.8,Governmental : Eastern,1/1/2011,Annually
2011,Western,Governmental,6050323.8,Governmental : Western,1/1/2011,Annually
2011,Central,Commercial,11503393.8,Commercial : Central,1/1/2011,Annually
2011,Total,Commercial,33007208.4,Commercial : Total,1/1/2011,Annually
2011,Eastern,Others,1254390.9,Others : Eastern,1/1/2011,Annually
2012,Total,Industrial,41711300,Industrial : Total,1/1/2012,Annually
2012,Western,Agricultural,595500,Agricultural : Western,1/1/2012,Annually
2012,Southern,Agricultural,82600,Agricultural : Southern,1/1/2012,Annually
2012,Southern,Others,951900,Others : Southern,1/1/2012,Annually
2012,Central,Total,72972900,Total : Central,1/1/2012,Annually
2012,Eastern,Total,73726800,Total : Eastern,1/1/2012,Annually
2013,Total,Governmental,27383659.11,Governmental : Total,1/1/2013,Annually
2013,Central,Agricultural,2827004.199,Agricultural : Central,1/1/2013,Annually
2013,Southern,Others,1168090.094,Others : Southern,1/1/2013,Annually
2013,Central,Total,74282467.96,Total : Central,1/1/2013,Annually
2014,Western,Industrial,5856464.412,Industrial : Western,1/1/2014,Annually
2014,Total,Industrial,51498585.71,Industrial : Total,1/1/2014,Annually
2014,Central,Governmental,11765526.62,Governmental : Central,1/1/2014,Annually
2014,Western,Governmental,7815233.388,Governmental : Western,1/1/2014,Annually
2014,Western,Agricultural,679316.717,Agricultural : Western,1/1/2014,Annually
2014,Central,Total,82318081.05,Total : Central,1/1/2014,Annually
2014,Western,Total,81348133.89,Total : Western,1/1/2014,Annually
2014,Southern,Total,25559879.88,Total : Southern,1/1/2014,Annually
2015,Eastern,Residential,28132248.14,Residential : Eastern,1/1/2015,Annually
2015,Western,Residential,50728853.7,Residential : Western,1/1/2015,Annually
2015,Central,Governmental,11298483.04,Governmental : Central,1/1/2015,Annually
2015,Western,Governmental,8537750.561,Governmental : Western,1/1/2015,Annually
2015,Southern,Governmental,3910638.577,Governmental : Southern,1/1/2015,Annually
2015,Total,Governmental,32795556.49,Governmental : Total,1/1/2015,Annually
2015,Western,Commercial,17901728.48,Commercial : Western,1/1/2015,Annually
2015,Central,Others,4199537.593,Others : Central,1/1/2015,Annually
2016,Southern,Industrial,756774.167,Industrial : Southern,1/1/2016,Annually
2016,Southern,Governmental,3974516.39,Governmental : Southern,1/1/2016,Annually
2016,Eastern,Agricultural,919708.2781,Agricultural : Eastern,1/1/2016,Annually
2016,Central,Others,4247069.458,Others : Central,1/1/2016,Annually
2017,Total,Residential,143054730.9,Residential : Total,1/1/2017,Annually
2017,Central,Industrial,6413659.153,Industrial : Central,1/1/2017,Annually
2017,Eastern,Industrial,34355257.89,Industrial : Eastern,1/1/2017,Annually
2017,Western,Industrial,5885153.189,Industrial : Western,1/1/2017,Annually
2017,Western,Governmental,9112482.162,Governmental : Western,1/1/2017,Annually
2017,Southern,Commercial,4461487.203,Commercial : Southern,1/1/2017,Annually
2017,Total,Commercial,49050928.6,Commercial : Total,1/1/2017,Annually
2017,Central,Agricultural,3396840.034,Agricultural : Central,1/1/2017,Annually
2017,Western,Agricultural,897475.2246,Agricultural : Western,1/1/2017,Annually
2017,Southern,Agricultural,131978.2757,Agricultural : Southern,1/1/2017,Annually
2017,Central,Others,4380588.354,Others : Central,1/1/2017,Annually
2017,Eastern,Others,1909509.22,Others : Eastern,1/1/2017,Annually
2017,Total,Others,11444432.41,Others : Total,1/1/2017,Annually
2018,Eastern,Residential,25189240.32,Residential : Eastern,1/1/2018,Annually
2018,Southern,Industrial,713655.3141,Industrial : Southern,1/1/2018,Annually
2018,Central,Agricultural,3106321.704,Agricultural : Central,1/1/2018,Annually
2018,Eastern,Agricultural,904032.8383,Agricultural : Eastern,1/1/2018,Annually
2018,Western,Agricultural,908318.2274,Agricultural : Western,1/1/2018,Annually
2018,Western,Others,3712893.917,Others : Western,1/1/2018,Annually
2018,Southern,Others,1775371.747,Others : Southern,1/1/2018,Annually
2019,Central,Agricultural,3130364.314,Agricultural : Central,1/1/2019,Annually
2019,Total,Agricultural,4984801.81,Agricultural : Total,1/1/2019,Annually
2019,Southern,Others,1950953.355,Others : Southern,1/1/2019,Annually
2019,Western,Total,84353779.75,Total : Western,1/1/2019,Annually
2020,Total,Residential,137275066.7,Residential : Total,1/1/2020,Annually
2020,Central,Industrial,6933934.419,Industrial : Central,1/1/2020,Annually
2020,Western,Industrial,6242513.591,Industrial : Western,1/1/2020,Annually
2020,Southern,Industrial,1188510.692,Industrial : Southern,1/1/2020,Annually
2020,Central,Commercial,15667773.68,Commercial : Central,1/1/2020,Annually
2020,Western,Commercial,13224236.24,Commercial : Western,1/1/2020,Annually
2021,Central,Residential,48701234.47,Residential : Central,1/1/2021,Annually
2021,Western,Residential,47292651.4,Residential : Western,1/1/2021,Annually
2021,Total,Residential,142115125.4,Residential : Total,1/1/2021,Annually
2021,Western,Industrial,6648204.703,Industrial : Western,1/1/2021,Annually
2021,Western,Governmental,11717883.13,Governmental : Western,1/1/2021,Annually
2021,Total,Commercial,46029620.61,Commercial : Total,1/1/2021,Annually
2021,Eastern,Agricultural,981564.7051,Agricultural : Eastern,1/1/2021,Annually
2021,Western,Agricultural,918815.1407,Agricultural : Western,1/1/2021,Annually
2021,Eastern,Others,1984269.508,Others : Eastern,1/1/2021,Annually
2021,Southern,Others,1774235.939,Others : Southern,1/1/2021,Annually
2021,Eastern,Total,83275691.97,Total : Eastern,1/1/2021,Annually
2022,Total,Industrial,52860205.14,Industrial : Total,1/1/2022,Annually
2022,Southern,Governmental,5358375.338,Governmental : Southern,1/1/2022,Annually
2022,Total,Commercial,50983824.41,Commercial : Total,1/1/2022,Annually
2022,Central,Agricultural,3569307.29,Agricultural : Central,1/1/2022,Annually
2022,Central,Total,93811962.95,Total : Central,1/1/2022,Annually
2022,Western,Total,87463632.39,Total : Western,1/1/2022,Annually
2022,Southern,Total,32598128.24,Total : Southern,1/1/2022,Annually
2005,Southern,Residential,8177747,Residential : Southern,1/1/2005,Annually
2005,Central,Industrial,3019440,Industrial : Central,1/1/2005,Annually
2005,Southern,Industrial,96250,Industrial : Southern,1/1/2005,Annually
2005,Eastern,Governmental,4420527,Governmental : Eastern,1/1/2005,Annually
2005,Southern,Agricultural,52342,Agricultural : Southern,1/1/2005,Annually
2005,Total,Others,5759670,Others : Total,1/1/2005,Annually
2005,Central,Total,44099567,Total : Central,1/1/2005,Annually
2006,Eastern,Industrial,26567703,Industrial : Eastern,1/1/2006,Annually
2006,Western,Governmental,4725153,Governmental : Western,1/1/2006,Annually
2006,Southern,Commercial,949522,Commercial : Southern,1/1/2006,Annually
2006,Total,Agricultural,3380288,Agricultural : Total,1/1/2006,Annually
2006,Western,Others,2021360,Others : Western,1/1/2006,Annually
2006,Central,Total,48503374,Total : Central,1/1/2006,Annually
2006,Western,Total,47619855,Total : Western,1/1/2006,Annually
2007,Western,Industrial,3313805,Industrial : Western,1/1/2007,Annually
2007,Eastern,Commercial,4707037,Commercial : Eastern,1/1/2007,Annually
2007,Western,Commercial,6601300,Commercial : Western,1/1/2007,Annually
2007,Western,Agricultural,431311,Agricultural : Western,1/1/2007,Annually
2007,Southern,Agricultural,70389,Agricultural : Southern,1/1/2007,Annually
2008,Southern,Residential,10458169,Residential : Southern,1/1/2008,Annually
2008,Eastern,Industrial,25036647,Industrial : Eastern,1/1/2008,Annually
2008,Central,Governmental,8311176,Governmental : Central,1/1/2008,Annually
2008,Western,Governmental,5580706,Governmental : Western,1/1/2008,Annually
2008,Central,Others,2530461,Others : Central,1/1/2008,Annually
2008,Eastern,Others,1213545,Others : Eastern,1/1/2008,Annually
2008,Eastern,Total,55647319,Total : Eastern,1/1/2008,Annually
2009,Total,Industrial,34654227,Industrial : Total,1/1/2009,Annually
2009,Eastern,Commercial,6021018,Commercial : Eastern,1/1/2009,Annually
2009,Southern,Agricultural,65119,Agricultural : Southern,1/1/2009,Annually
2009,Southern,Others,718432,Others : Southern,1/1/2009,Annually
2010,Western,Industrial,4286143,Industrial : Western,1/1/2010,Annually
2010,Total,Industrial,38568706,Industrial : Total,1/1/2010,Annually
2010,Central,Commercial,9888478,Commercial : Central,1/1/2010,Annually
2010,Central,Agricultural,2469305,Agricultural : Central,1/1/2010,Annually
2010,Central,Others,2826389,Others : Central,1/1/2010,Annually
2010,Western,Total,65110497.1,Total : Western,1/1/2010,Annually
2011,Eastern,Residential,21310629.1,Residential : Eastern,1/1/2011,Annually
2011,Central,Agricultural,2561642.1,Agricultural : Central,1/1/2011,Annually
2011,Western,Agricultural,514058,Agricultural : Western,1/1/2011,Annually
2012,Western,Residential,43615800,Residential : Western,1/1/2012,Annually
2012,Southern,Residential,13504400,Residential : Southern,1/1/2012,Annually
2012,Total,Residential,120245700,Residential : Total,1/1/2012,Annually
2012,Western,Industrial,5356900,Industrial : Western,1/1/2012,Annually
2012,Southern,Industrial,303600,Industrial : Southern,1/1/2012,Annually
2012,Western,Governmental,6676400,Governmental : Western,1/1/2012,Annually
2012,Total,Commercial,39809100,Commercial : Total,1/1/2012,Annually
2012,Eastern,Others,1425400,Others : Eastern,1/1/2012,Annually
2012,Total,Others,8242000,Others : Total,1/1/2012,Annually
2012,Southern,Total,20522500,Total : Southern,1/1/2012,Annually
2013,Eastern,Residential,23230420.26,Residential : Eastern,1/1/2013,Annually
2013,Southern,Residential,15306034.39,Residential : Southern,1/1/2013,Annually
2013,Central,Industrial,5743221.923,Industrial : Central,1/1/2013,Annually
2013,Western,Industrial,6511154.666,Industrial : Western,1/1/2013,Annually
2013,Central,Governmental,10376014.76,Governmental : Central,1/1/2013,Annually
2013,Central,Commercial,12612462.26,Commercial : Central,1/1/2013,Annually
2013,Southern,Commercial,3381204.36,Commercial : Southern,1/1/2013,Annually
2013,Eastern,Agricultural,742452.421,Agricultural : Eastern,1/1/2013,Annually
2013,Southern,Agricultural,94935.209,Agricultural : Southern,1/1/2013,Annually
2013,Central,Others,3143952.65,Others : Central,1/1/2013,Annually
2013,Total,Others,8755891.67,Others : Total,1/1/2013,Annually
2014,Western,Residential,47468304.68,Residential : Western,1/1/2014,Annually
2014,Central,Industrial,5767831.015,Industrial : Central,1/1/2014,Annually
2014,Eastern,Industrial,38942598.71,Industrial : Eastern,1/1/2014,Annually
2014,Southern,Industrial,931691.5745,Industrial : Southern,1/1/2014,Annually
2014,Eastern,Governmental,7234719.682,Governmental : Eastern,1/1/2014,Annually
2014,Southern,Governmental,3195338.973,Governmental : Southern,1/1/2014,Annually
2014,Total,Commercial,41941707.51,Commercial : Total,1/1/2014,Annually
2014,Total,Agricultural,4577353.77,Agricultural : Total,1/1/2014,Annually
2014,Southern,Others,1318470.42,Others : Southern,1/1/2014,Annually
2015,Eastern,Agricultural,973951.6662,Agricultural : Eastern,1/1/2015,Annually
2015,Western,Agricultural,784320.9309,Agricultural : Western,1/1/2015,Annually
2015,Southern,Agricultural,124584.1788,Agricultural : Southern,1/1/2015,Annually
2015,Western,Total,87254741.77,Total : Western,1/1/2015,Annually
2016,Southern,Commercial,4343046.862,Commercial : Southern,1/1/2016,Annually
2016,Total,Commercial,48792852.87,Commercial : Total,1/1/2016,Annually
2016,Southern,Agricultural,120756.1992,Agricultural : Southern,1/1/2016,Annually
2016,Eastern,Others,1736945.433,Others : Eastern,1/1/2016,Annually
2016,Eastern,Total,80664313.16,Total : Eastern,1/1/2016,Annually
2017,Southern,Residential,17312694.26,Residential : Southern,1/1/2017,Annually
2017,Southern,Industrial,576292.0464,Industrial : Southern,1/1/2017,Annually
2017,Total,Governmental,32446405.7,Governmental : Total,1/1/2017,Annually
2017,Eastern,Total,82059890.02,Total : Eastern,1/1/2017,Annually
2017,Southern,Total,28443706.63,Total : Southern,1/1/2017,Annually
2017,Total,Total,288656429.7,Total : Total,1/1/2017,Annually
2018,Total,Governmental,43593403.5,Governmental : Total,1/1/2018,Annually
2018,Eastern,Commercial,8665411.157,Commercial : Eastern,1/1/2018,Annually
2018,Central,Total,85358637.66,Total : Central,1/1/2018,Annually
2019,Eastern,Residential,25019012.44,Residential : Eastern,1/1/2019,Annually
2019,Southern,Residential,16480977.57,Residential : Southern,1/1/2019,Annually
2019,Western,Governmental,11919416.08,Governmental : Western,1/1/2019,Annually
2019,Western,Commercial,16614079.31,Commercial : Western,1/1/2019,Annually
2019,Western,Agricultural,874460.2598,Agricultural : Western,1/1/2019,Annually
2019,Eastern,Total,82394661.61,Total : Eastern,1/1/2019,Annually
2020,Central,Residential,46388998.11,Residential : Central,1/1/2020,Annually
2020,Eastern,Residential,27033414.02,Residential : Eastern,1/1/2020,Annually
2020,Eastern,Industrial,36397046.58,Industrial : Eastern,1/1/2020,Annually
2020,Western,Others,3082148.404,Others : Western,1/1/2020,Annually
2020,Eastern,Total,83002397.71,Total : Eastern,1/1/2020,Annually
2020,Total,Total,280810551.4,Total : Total,1/1/2020,Annually
2021,Central,Industrial,7018607.725,Industrial : Central,1/1/2021,Annually
2021,Southern,Industrial,1808854.15,Industrial : Southern,1/1/2021,Annually
2021,Central,Commercial,17524130.18,Commercial : Central,1/1/2021,Annually
2021,Eastern,Commercial,9017315.916,Commercial : Eastern,1/1/2021,Annually
2021,Southern,Commercial,4659333.78,Commercial : Southern,1/1/2021,Annually
2021,Central,Others,4075710.071,Others : Central,1/1/2021,Annually
2021,Central,Total,91473188.96,Total : Central,1/1/2021,Annually
2021,Total,Total,292201759,Total : Total,1/1/2021,Annually
2022,Central,Residential,49467780.03,Residential : Central,1/1/2022,Annually
2022,Eastern,Residential,27945381.01,Residential : Eastern,1/1/2022,Annually
2022,Central,Governmental,9725415.523,Governmental : Central,1/1/2022,Annually
2022,Total,Governmental,35457734.74,Governmental : Total,1/1/2022,Annually
2022,Eastern,Commercial,9869285.587,Commercial : Eastern,1/1/2022,Annually
2022,Southern,Commercial,4797156.055,Commercial : Southern,1/1/2022,Annually
2022,Eastern,Agricultural,1046146.339,Agricultural : Eastern,1/1/2022,Annually
2022,Southern,Others,1767469.203,Others : Southern,1/1/2022,Annually
2022,Total,Others,11298362.45,Others : Total,1/1/2022,Annually
2022,Total,Total,298701592.3,Total : Total,1/1/2022,Annually
